지역,동,월,일,매매가격,전용면적
강남구, 역삼동,5,7,152500,59.4
강남구, 역삼동,5,8,47000,53.65
강남구, 역삼동,5,8,205000,84.991
강남구, 역삼동,5,8,66500,47.02
강남구, 역삼동,6,3,155000,59.53
강남구, 역삼동,6,3,79000,28.246
강남구, 역삼동,6,4,40120,18.61
강남구, 역삼동,6,5,196500,80.87
강남구, 역삼동,6,5,114500,84.96
강남구, 역삼동,6,6,36000,39.89
강남구, 역삼동,6,6,270000,133.1686
강남구, 역삼동,6,7,92500,107.3
강남구, 역삼동,6,8,250000,131.38
강남구, 역삼동,6,8,285000,157.37
강남구, 역삼동,7,1,35000,60.66
강남구, 역삼동,7,1,19500,14.78
강남구, 역삼동,7,1,196000,84.891
강남구, 역삼동,7,2,219000,70.8333
강남구, 역삼동,7,3,171000,84.97
강남구, 역삼동,7,4,22800,24
강남구, 역삼동,7,4,285000,144.55
강남구, 역삼동,7,4,260000,116.285
강남구, 역삼동,7,4,169000,59.4
강남구, 역삼동,7,4,93000,71.91
강남구, 역삼동,8,1,86000,93.22
강남구, 역삼동,8,3,93500,84.78
강남구, 역삼동,8,3,160000,103.07
강남구, 역삼동,8,5,140000,83.27
강남구, 역삼동,8,7,30000,28.44
강남구, 역삼동,8,7,285000,114.019
강남구, 역삼동,8,8,198000,59.606
강남구, 역삼동,8,8,215000,70.98
강남구, 역삼동,8,8,269000,116.285
강남구, 역삼동,8,11,189000,132.88
강남구, 역삼동,9,1,254000,149.7
강남구, 역삼동,9,1,227000,70.8333
강남구, 역삼동,9,2,190000,80.87
강남구, 역삼동,9,4,260000,92.6232
강남구, 역삼동,9,12,149200,84.95
강남구, 역삼동,9,15,90000,122.45
강남구, 역삼동,9,16,90000,84.28
강남구, 역삼동,9,19,82000,28.246
강남구, 역삼동,9,21,125000,84.9
강남구, 역삼동,9,23,49300,42.69
