건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
2004,2020,역삼동,"1,000",역삼우정에쉐르2,9,160,1,42.41,707-18,11680,7
2006,2020,역삼동,"50,000",개나리래미안,9,330,1,144.55,754,11680,12
2002,2020,역삼동,"27,000",대우디오빌,9,0,2,30.03,720-25,11680,8
2009,2020,역삼동,"35,000",래미안그레이튼,9,160,3,59.97,763-16,11680,17
2005,2020,역삼동,"120,000",e-편한세상,9,60,4,84.991,755-4,11680,9
2014,2020,역삼동,"17,320",이스턴오피스텔,9,0,4,14.78,735-15,11680,10
2018,2020,역삼동,"34,650",이지마루 역삼,9,0,5,26.5,678-27,11680,10
2005,2020,역삼동,"30,000",역삼래미안,9,170,5,59.4,757,11680,14
1997,2020,역삼동,"100,000",대림역삼,9,0,5,84.96,761-10,11680,13
1992,2020,역삼동,"44,000",은하수,9,0,5,67.14,759-1,11680,8
1992,2020,역삼동,"37,000",은하수,9,0,5,67.14,759-1,11680,1
2005,2020,역삼동,"110,000",e-편한세상,9,0,5,84.991,755-4,11680,7
2005,2020,역삼동,"5,000",e-편한세상,9,210,5,59.606,755-4,11680,6
2006,2020,역삼동,"8,000",역삼푸르지오,9,240,5,59.8848,754-1,11680,6
1998,2020,역삼동,"78,000",동부센트레빌,9,0,5,59.97,716,11680,15
2005,2020,역삼동,"73,500",역삼래미안,9,0,7,59.4,757,11680,1
2014,2020,역삼동,"19,000",이스턴오피스텔,9,0,7,15.25,735-15,11680,14
2014,2020,역삼동,"140,000",테헤란아이파크,9,0,7,92.6232,709-5,11680,5
2002,2020,역삼동,"27,000",대우디오빌,9,0,8,30.03,720-25,11680,15
2014,2020,역삼동,"75,000",테헤란아이파크,9,150,8,70.8333,709-5,11680,13
2002,2020,역삼동,"2,000",역삼동하나빌,9,150,8,52.31,681-26,11680,14
2002,2020,역삼동,"27,000",대우디오빌,9,0,8,30.03,720-25,11680,15
2014,2020,역삼동,"80,000",테헤란아이파크,9,60,9,70.8333,709-5,11680,13
2005,2020,역삼동,"70,000",에스케이허브젠,9,0,9,71.91,831-45,11680,9
2005,2020,역삼동,"70,000",에스케이허브젠,9,0,9,71.91,831-45,11680,9
2002,2020,역삼동,"69,000",경남아너스빌,9,0,9,84.932,722,11680,6
2005,2020,역삼동,"100,000",e-편한세상,9,0,9,59.947,755-4,11680,2
2016,2020,역삼동,"70,000",역삼자이,9,350,10,114.019,711-3,11680,9
2006,2020,역삼동,"10,000",역삼푸르지오,9,260,10,59.8848,754-1,11680,20
2012,2020,역삼동,"88,000",개나리SK뷰,9,200,10,127.27,716-3,11680,24
2004,2020,역삼동,"18,800",강남역우정에쉐르,9,0,11,17.13,823-7,11680,11
2014,2020,역삼동,"80,000",테헤란아이파크,9,130,11,70.8333,709-5,11680,7
2001,2020,역삼동,"10,000",한화진넥스빌,9,57,11,43.58,706-20,11680,23
2005,2020,역삼동,"5,000",역삼래미안,9,260,11,59.53,757,11680,5
2001,2020,역삼동,"39,900",역삼예명,9,0,11,66.34,664-5,11680,4
2001,2020,역삼동,"25,000",에벤에셀빌라트,9,0,11,40,685-19,11680,1
2006,2020,역삼동,"50,000",개나리 푸르지오,9,170,12,59.6851,755-1,11680,13
1998,2020,역삼동,"98,000",동부센트레빌,9,0,12,84.97,716,11680,8
2005,2020,역삼동,"5,000",역삼래미안,9,242,12,59.53,757,11680,16
2003,2020,역삼동,"5,000",예지향,9,210,12,84.93,728-52,11680,3
2006,2020,역삼동,"94,500",개나리 푸르지오,9,0,12,59.6851,755-1,11680,14
2006,2020,역삼동,"1,000",프리우스 역삼 102동,9,60,12,76.87,636,11680,10
1996,2020,역삼동,"2,000",한스빌(836),9,80,12,39.89,836,11680,3
1997,2020,역삼동,"10,000",대림역삼,9,220,12,84.96,761-10,11680,2
2006,2020,역삼동,"5,000",역삼푸르지오,9,260,14,59.8848,754-1,11680,6
2014,2020,역삼동,"96,600",테헤란아이파크,9,0,14,70.8333,709-5,11680,2
2006,2020,역삼동,"130,000",개나리 푸르지오,9,40,15,148.8017,755-1,11680,9
2001,2020,역삼동,"23,100",한화진넥스빌,9,0,15,39.2,706-20,11680,23
2006,2020,역삼동,"20,000",개나리래미안,9,240,15,59.95,754,11680,14
2016,2020,역삼동,"135,000",역삼자이,9,0,16,84.993,711-3,11680,12
1996,2020,역삼동,"26,200",한스빌(836),9,0,16,39.89,836,11680,12
2014,2020,역삼동,"115,500",테헤란아이파크,9,0,17,92.6232,709-5,11680,4
2004,2020,역삼동,"30,000",우정에쉐르멤버스,9,0,17,36.19,708-31,11680,4
2004,2020,역삼동,"1,000",강남역우정에쉐르,9,75,17,17.23,823-7,11680,8
1998,2020,역삼동,"20,000",세종빌라트,9,150,17,122.45,791-23,11680,2
2011,2020,역삼동,"94,500",래미안그레이튼(진달래2차),9,0,17,84.87,762-3,11680,11
1998,2020,역삼동,"50,000",동부센트레빌,9,100,18,59.97,716,11680,15
2014,2020,역삼동,"123,000",테헤란아이파크,9,0,18,92.6232,709-5,11680,1
2002,2020,역삼동,"21,000",대우디오빌,9,0,18,30.03,720-25,11680,15
2002,2020,역삼동,"1,000",대우디오빌,9,90,18,30.03,720-25,11680,4
2005,2020,역삼동,"89,000",역삼래미안,9,0,18,59.53,757,11680,18
2009,2020,역삼동,"70,000",래미안그레이튼,9,45,19,59.97,763-16,11680,17
2005,2020,역삼동,"110,000",e-편한세상,9,0,19,84.991,755-4,11680,6
2006,2020,역삼동,"99,500",역삼푸르지오,9,0,19,84.9097,754-1,11680,6
2006,2020,역삼동,"140,000",역삼푸르지오,9,0,19,84.9097,754-1,11680,10
2006,2020,역삼동,"30,000",역삼푸르지오,9,204,19,84.9097,754-1,11680,9
2006,2020,역삼동,"115,000",개나리 푸르지오,9,0,19,59.6851,755-1,11680,4
2006,2020,역삼동,"111,000",개나리 푸르지오,9,0,19,84.6815,755-1,11680,14
2005,2020,역삼동,"120,000",역삼래미안,9,0,19,80.87,757,11680,9
2006,2020,역삼동,"1,000",역삼 I'PARK,9,130,19,28.246,713-11,11680,1
2002,2020,역삼동,"5,000",역삼동하나빌,9,145,19,50.89,681-26,11680,13
2002,2020,역삼동,"28,000",역삼동하나빌,9,0,19,31.12,681-26,11680,7
2002,2020,역삼동,"25,000",트레벨,9,0,20,35.93,766-8,11680,4
2006,2020,역삼동,"115,500",개나리 푸르지오,9,0,21,84.9876,755-1,11680,6
2005,2020,역삼동,"76,000",역삼래미안,9,0,21,59.53,757,11680,5
2012,2020,역삼동,"19,000",대명벨리온,9,0,21,17.684,727-2,11680,2
2001,2020,역삼동,"10,000",한화진넥스빌,9,57,21,43.58,706-20,11680,23
2003,2020,역삼동,"20,000",우림루미아트2,9,0,22,24,706-10,11680,7
2005,2020,역삼동,"30,000",e-편한세상,9,240,22,84.991,755-4,11680,9
2016,2020,역삼동,"70,000",역삼자이,9,210,22,84.4816,711-3,11680,5
2003,2020,역삼동,"20,000",우림루미아트2,9,0,22,23.9,706-10,11680,7
2001,2020,역삼동,500,한화진넥스빌,9,85,23,39.2,706-20,11680,20
2016,2020,역삼동,"55,000",역삼자이,9,170,23,84.993,711-3,11680,10
2016,2020,역삼동,"52,785",역삼자이,9,0,24,59.9977,711-3,11680,11
2002,2020,역삼동,"26,000",대우디오빌,9,0,24,30.03,720-25,11680,9
2005,2020,역삼동,"99,700",e-편한세상,9,0,25,84.991,755-4,11680,15
2009,2020,역삼동,"40,000",래미안그레이튼,9,210,25,70.98,763-16,11680,7
2002,2020,역삼동,"67,000",세방하이빌2,9,0,25,84.84,771-14,11680,3
2007,2020,역삼동,"90,000",쎄비앙 102동,9,35,25,144.48,778-5,11680,5
2012,2020,역삼동,"3,000",강남서해더블루,9,230,25,70.57,796-29,11680,4
1996,2020,역삼동,"26,500",한스빌(836),9,0,25,39.89,836,11680,6
2005,2020,역삼동,"73,500",e-편한세상,9,0,26,59.606,755-4,11680,1
2006,2020,역삼동,"10,000",역삼푸르지오,9,320,26,84.9097,754-1,11680,8
2005,2020,역삼동,"133,000",e-편한세상,9,0,26,84.991,755-4,11680,14
2005,2020,역삼동,"75,000",e-편한세상,9,80,26,59.606,755-4,11680,9
2016,2020,역삼동,"40,000",역삼자이,9,330,26,84.993,711-3,11680,3
2001,2020,역삼동,"25,000",에벤에셀빌라트,9,0,26,36.59,685-19,11680,3
2005,2020,역삼동,"10,000",역삼래미안,9,250,26,59.53,757,11680,5
2005,2020,역삼동,"10,000",역삼래미안,9,180,26,59.53,757,11680,15
1996,2020,역삼동,"1,000",한스빌(836),9,85,26,39.89,836,11680,5
2001,2020,역삼동,"25,000",에벤에셀빌라트,9,0,27,40,685-19,11680,2
2003,2020,역삼동,"50,000",노블카운티,9,0,27,81.85,794-24,11680,3
2001,2020,역삼동,"24,150",한화진넥스빌,9,0,28,34.82,706-20,11680,11
2003,2020,역삼동,"19,000",우림루미아트2,9,0,28,23.66,706-10,11680,7
2016,2020,역삼동,"52,785",역삼자이,9,0,29,59.9977,711-3,11680,7
2007,2020,역삼동,"160,000",래미안펜타빌,9,0,29,158.58,713-7,11680,24
