지역,동,월,일,매매가격,전용면적
서초구, 방배동,1,2,105000,59.97
서초구, 방배동,1,2,107400,59.97
서초구, 방배동,1,3,138000,155.4471
서초구, 방배동,1,3,35000,29.6
서초구, 방배동,1,3,130500,127.61
서초구, 방배동,1,3,87000,132.731
서초구, 방배동,1,3,145000,139.74
서초구, 방배동,1,3,210000,181.39
서초구, 방배동,1,3,138000,129.76
서초구, 방배동,1,3,90000,59.94
서초구, 방배동,2,1,170000,194.92
서초구, 방배동,2,1,105000,125.79
서초구, 방배동,2,2,77000,97.1
서초구, 방배동,2,2,119000,121.269
서초구, 방배동,2,3,148000,133.31
서초구, 방배동,2,3,139000,114.28
서초구, 방배동,2,3,115000,103.7
서초구, 방배동,2,3,140000,162.8
서초구, 방배동,2,5,118000,116.13
서초구, 방배동,2,5,130000,105.86
서초구, 방배동,3,1,196000,239.33
서초구, 방배동,3,1,96000,108.98
서초구, 방배동,3,2,130700,105.86
서초구, 방배동,3,2,151000,84.9145
서초구, 방배동,3,2,34900,29.6
서초구, 방배동,3,2,87000,124.96
서초구, 방배동,3,2,113000,124.67
서초구, 방배동,3,2,157000,163.36
서초구, 방배동,3,2,179500,186.53
서초구, 방배동,3,2,158000,133.31
서초구, 방배동,4,2,245000,198.5315
서초구, 방배동,4,3,135000,124.569
서초구, 방배동,4,3,85000,84.97
서초구, 방배동,4,5,167500,231.13
서초구, 방배동,4,6,34000,28.84
서초구, 방배동,4,6,228000,182.26
서초구, 방배동,4,6,139000,113.36
서초구, 방배동,4,7,84150,67.47
서초구, 방배동,4,7,160000,174.5
서초구, 방배동,4,9,89000,77.04
서초구, 방배동,5,1,81000,67.47
서초구, 방배동,5,2,90000,80.33
서초구, 방배동,5,2,117000,144.33
서초구, 방배동,5,3,132500,120.566
서초구, 방배동,5,3,213000,216.2766
서초구, 방배동,5,4,200000,243.78
서초구, 방배동,5,4,117000,103.34
서초구, 방배동,5,4,75000,59.4
서초구, 방배동,5,8,31900,29.6
서초구, 방배동,5,9,150000,84.97
서초구, 방배동,6,4,143000,181.481
서초구, 방배동,6,5,219000,216.2766
서초구, 방배동,6,5,219000,216.2766
서초구, 방배동,6,7,134000,124.27
서초구, 방배동,6,7,219000,216.2766
서초구, 방배동,6,7,208000,216.2766
서초구, 방배동,6,8,195000,216.2766
서초구, 방배동,6,8,219000,216.2766
서초구, 방배동,6,9,150000,163.31
서초구, 방배동,6,11,70000,86.56
서초구, 방배동,7,2,68000,84.86
서초구, 방배동,7,2,161000,134.04
서초구, 방배동,7,2,157000,164.96
서초구, 방배동,7,3,140000,84.96
서초구, 방배동,7,3,112000,113.36
서초구, 방배동,7,6,110000,149.91
서초구, 방배동,7,11,95000,185.02
서초구, 방배동,7,12,130000,181.6
서초구, 방배동,7,12,86000,59.9
서초구, 방배동,7,13,137500,162.8
서초구, 방배동,8,1,138500,134.36
서초구, 방배동,8,1,90000,59.57
서초구, 방배동,8,1,65000,59.49
서초구, 방배동,8,1,195000,121.6356
서초구, 방배동,8,1,104500,84.93
서초구, 방배동,8,1,135000,181.481
서초구, 방배동,8,2,32000,28.84
서초구, 방배동,8,2,210000,172.27
서초구, 방배동,8,3,72500,59.98
서초구, 방배동,8,3,104000,79.8
서초구, 방배동,9,1,140000,89.844
서초구, 방배동,9,1,78000,59.49
서초구, 방배동,9,1,130000,103.7
서초구, 방배동,9,1,149000,102.93
서초구, 방배동,9,2,216000,172.27
서초구, 방배동,9,3,267000,202.4635
서초구, 방배동,9,3,178000,84.97
서초구, 방배동,9,3,150000,168.81
서초구, 방배동,9,3,242500,202.4635
서초구, 방배동,9,4,125000,84.91
강남구, 역삼동,1,1,80000,59.77
강남구, 역삼동,1,2,83500,59.99
강남구, 역삼동,1,2,180000,121.54
강남구, 역삼동,1,2,151000,84.9097
강남구, 역삼동,1,2,108000,132.88
강남구, 역삼동,1,3,35000,39.89
강남구, 역삼동,1,3,165000,105.89
강남구, 역삼동,1,3,89000,84.96
강남구, 역삼동,1,3,127800,59.4
강남구, 역삼동,1,3,53000,52.31
강남구, 역삼동,2,1,139000,59.4
강남구, 역삼동,2,1,140000,176.03
강남구, 역삼동,2,2,32900,43.58
강남구, 역삼동,2,2,175000,84.87
강남구, 역삼동,2,3,60000,84.85
강남구, 역삼동,2,3,77500,84.18
강남구, 역삼동,2,3,170000,84.991
강남구, 역삼동,2,3,89500,125.11
강남구, 역삼동,2,5,127500,176.03
강남구, 역삼동,2,6,68000,84.93
강남구, 역삼동,3,1,42500,27.06
강남구, 역삼동,3,2,118000,133.95
강남구, 역삼동,3,2,45500,30.01
강남구, 역삼동,3,3,83000,84.99
강남구, 역삼동,3,3,84500,84.83
강남구, 역삼동,3,4,145000,70.83
강남구, 역삼동,3,5,92000,59.66
강남구, 역삼동,3,5,54000,47.83
강남구, 역삼동,3,6,76900,59.77
강남구, 역삼동,3,7,28000,30.03
강남구, 역삼동,4,4,82500,59.77
강남구, 역삼동,4,8,84000,84.83
강남구, 역삼동,4,9,68000,96.58
강남구, 역삼동,4,9,220000,157.41
강남구, 역삼동,4,10,24000,17.684
강남구, 역삼동,4,11,55000,59.145
강남구, 역삼동,4,11,89000,152.58
강남구, 역삼동,4,17,20500,24
강남구, 역삼동,4,17,160000,84.991
강남구, 역삼동,4,19,28700,30.03
강남구, 역삼동,5,2,39000,43.99
강남구, 역삼동,5,3,205000,135.67
강남구, 역삼동,5,10,88000,76.91
강남구, 역삼동,5,11,72000,127.7
강남구, 역삼동,5,14,20000,22.12
강남구, 역삼동,5,14,84000,83.27
강남구, 역삼동,5,14,85000,125.11
강남구, 역삼동,5,15,88000,76.91
강남구, 역삼동,5,15,60000,40.1
강남구, 역삼동,5,16,24000,25.92
강남구, 역삼동,6,2,185000,149.7
강남구, 역삼동,6,2,132000,59.4
강남구, 역삼동,6,2,89000,114.01
강남구, 역삼동,6,2,30900,30.03
강남구, 역삼동,6,5,132800,59.4
강남구, 역삼동,6,9,30500,30.03
강남구, 역삼동,6,9,55000,58.65
강남구, 역삼동,6,11,208000,142.06
강남구, 역삼동,6,16,34500,43.58
강남구, 역삼동,6,16,100000,84.96
강남구, 역삼동,7,2,227500,147.9554
강남구, 역삼동,7,4,115300,84.96
강남구, 역삼동,7,4,127000,59.53
강남구, 역삼동,7,6,60000,71.78
강남구, 역삼동,7,7,119500,132.88
강남구, 역삼동,7,7,131000,59.606
강남구, 역삼동,7,9,79000,101.55
강남구, 역삼동,7,10,90000,84.97
강남구, 역삼동,7,12,126000,59.8848
강남구, 역삼동,7,12,51500,36.62
강남구, 역삼동,8,1,165000,84.9097
강남구, 역삼동,8,1,232000,147.9554
강남구, 역삼동,8,4,184000,84.99
강남구, 역삼동,8,7,137250,59.606
강남구, 역삼동,8,9,165000,80.87
강남구, 역삼동,8,9,70000,28.246
강남구, 역삼동,8,10,183000,105.89
강남구, 역삼동,8,11,135000,59.4
강남구, 역삼동,8,11,168000,84.9097
강남구, 역삼동,8,11,133000,59.4
강남구, 역삼동,9,1,33500,39.2
강남구, 역삼동,9,1,187000,84.87
강남구, 역삼동,9,2,69700,84.96
강남구, 역삼동,9,2,166500,84.587
강남구, 역삼동,9,3,42800,36.96
강남구, 역삼동,9,5,155000,84.97
강남구, 역삼동,9,5,215000,144.641
강남구, 역삼동,9,5,150000,59.8848
강남구, 역삼동,9,5,180000,84.991
강남구, 역삼동,9,5,32500,30.03
