Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42
행정구역별(읍면동),연령별,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
전국,60~64세,2821457,1379694,1441763,95.7,2758941,1348273,1410668,95.6,3079213,1508112,1571101,96,3010386,1473557,1536829,95.9,3251699,1596954,1654745,96.5,3175172,1558672,1616500,96.4,3482338,1715950,1766388,97.1,3401325,1675784,1725541,97.1,3689408,1816973,1872435,97,3604994,1775178,1829816,97
전국,65~69세,2144023,1028129,1115894,92.1,2117875,1015463,1102412,92.1,2208535,1058989,1149546,92.1,2179524,1044970,1134554,92.1,2315195,1113374,1201821,92.6,2282138,1097501,1184637,92.6,2372155,1139381,1232774,92.4,2335461,1121855,1213606,92.4,2492232,1199690,1292542,92.8,2450215,1179719,1270496,92.9
전국,70~74세,1770741,793855,976886,81.3,1760932,789607,971325,81.3,1746223,790608,955615,82.7,1736294,786401,949893,82.8,1756166,802127,954039,84.1,1745402,797640,947762,84.2,1829392,844189,985203,85.7,1817370,839242,978128,85.8,1926601,896925,1029676,87.1,1911438,890402,1021036,87.2
전국,75~79세,1362669,553178,809491,68.3,1356014,550684,805330,68.4,1425031,585602,839429,69.8,1418480,583304,835176,69.8,1543849,643508,900341,71.5,1537367,641422,895945,71.6,1585750,666909,918841,72.6,1579289,664879,914410,72.7,1595168,676049,919119,73.6,1588073,673589,914484,73.7
전국,80~84세,814222,276627,537595,51.5,810891,275462,535429,51.4,884261,307499,576762,53.3,880699,306320,574379,53.3,943418,335345,608073,55.1,939787,334274,605513,55.2,1005673,363891,641782,56.7,1001715,362776,638939,56.8,1075010,396231,678779,58.4,1070623,394900,675723,58.4
전국,85세이상,525723,132986,392737,33.9,523370,132191,391179,33.8,562518,142832,419686,34,560121,142070,418051,34,612599,158130,454469,34.8,610672,157562,453110,34.8,662179,173972,488207,35.6,660280,173493,486787,35.6,727980,195856,532124,36.8,725214,194965,530249,36.8
전국,85~89세,372987,98855,274132,36.1,371527,98367,273160,36,400337,107281,293056,36.6,398827,106818,292009,36.6,434947,119540,315407,37.9,433550,119129,314421,37.9,467681,132006,335675,39.3,466247,131650,334597,39.3,511197,148298,362899,40.9,509347,147716,361631,40.8
전국,90~94세,124723,28759,95964,30,124111,28565,95546,29.9,130627,29532,101095,29.2,130010,29346,100664,29.2,141555,31590,109965,28.7,141169,31488,109681,28.7,153410,33938,119472,28.4,153039,33849,119190,28.4,173427,38990,134437,29,172793,38783,134010,28.9
전국,95~99세,24796,4923,19873,24.8,24573,4831,19742,24.5,28007,5550,22457,24.7,27798,5461,22337,24.4,32154,6435,25719,25,32045,6395,25650,24.9,36839,7427,29412,25.3,36762,7402,29360,25.2,38482,7760,30722,25.3,38255,7683,30572,25.1
전국,100세이상,3217,449,2768,16.2,3159,428,2731,15.7,3547,469,3078,15.2,3486,445,3041,14.6,3943,565,3378,16.7,3908,550,3358,16.4,4249,601,3648,16.5,4232,592,3640,16.3,4874,808,4066,19.9,4819,783,4036,19.4
전국,15세미만,6954313,3591551,3362762,106.8,6906707,3567115,3339592,106.8,6822213,3518101,3304112,106.5,6768338,3490366,3277972,106.5,6682752,3441958,3240794,106.2,6631762,3415956,3215806,106.2,6542808,3366547,3176261,106,6479881,3334593,3145288,106,6392180,3286624,3105556,105.8,6311951,3245806,3066145,105.9
전국,15~64세,37497684,19232176,18265508,105.3,36229874,18489317,17740557,104.2,37620773,19293356,18327417,105.3,36312340,18528089,17784251,104.2,37568528,19273613,18294915,105.3,36196132,18478037,17718095,104.3,37631555,19322306,18309249,105.5,36103955,18434716,17669239,104.3,37570032,19300695,18269337,105.6,35942771,18355281,17587490,104.4
전국,65세이상,6617378,2784775,3832603,72.7,6569082,2763407,3805675,72.6,6826568,2885530,3941038,73.2,6775118,2863065,3912053,73.2,7171227,3052484,4118743,74.1,7115366,3028399,4086967,74.1,7455149,3188342,4266807,74.7,7394115,3162245,4231870,74.7,7816991,3364751,4452240,75.6,7745563,3333575,4411988,75.6
전국,평균연령,40.4,39.2,41.6,-,40.4,39.2,41.6,-,40.8,39.6,42,-,40.9,39.7,42.1,-,41.3,40.1,42.5,-,41.4,40.2,42.6,-,41.8,40.6,43,-,42,40.8,43.2,-,42.4,41.2,43.6,-,42.5,41.3,43.7,-
전국,중위연령,41.1,39.8,42.3,-,41.2,40,42.4,-,41.6,40.3,42.9,-,41.8,40.6,43,-,42.2,40.8,43.5,-,42.4,41.2,43.7,-,42.7,41.3,44.1,-,43.1,41.8,44.3,-,43.3,41.9,44.7,-,43.7,42.4,45,-
