건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1992,2020,분당동,"30,000",샛별마을(동성),9,95,1,84.82,35,41135,7
1992,2020,분당동,"33,000",샛별마을(동성),9,50,1,69.39,35,41135,1
1994,2020,분당동,"83,000",샛별마을(우방),9,0,2,133.86,38,41135,14
1994,2020,분당동,"20,000",샛별마을(우방),9,230,3,101.96,38,41135,6
1992,2020,분당동,"2,000",샛별마을(동성),9,115,4,59.4,35,41135,6
1992,2020,분당동,"33,600",샛별마을(동성),9,0,5,59.4,35,41135,7
1992,2020,분당동,"35,000",샛별마을(동성),9,0,5,59.4,35,41135,4
1992,2020,분당동,"33,600",샛별마을(삼부),9,0,5,59.82,39,41135,5
1992,2020,분당동,"44,000",샛별마을(동성),9,0,9,69.39,35,41135,3
1992,2020,분당동,"15,000",샛별마을(동성),9,70,9,59.4,35,41135,4
1992,2020,분당동,"15,000",샛별마을(동성),9,70,9,59.4,35,41135,4
1992,2020,분당동,"42,000",샛별마을(라이프),9,0,10,58.17,34,41135,9
1992,2020,분당동,"39,000",샛별마을(라이프),9,0,11,58.17,34,41135,3
1993,2020,분당동,"30,000",장안타운(건영),9,0,12,53.72,66,41135,8
1993,2020,분당동,"10,000",샛별마을(라이프),9,190,15,84.99,34,41135,7
1992,2020,분당동,"52,500",샛별마을(삼부),9,0,18,84.6,39,41135,16
1994,2020,분당동,"70,000",샛별마을(우방),9,0,19,84.99,38,41135,15
1994,2020,분당동,"19,000",샛별마을(우방),9,0,19,57.28,38,41135,4
1994,2020,분당동,"53,000",샛별마을(우방),9,0,21,72.32,38,41135,8
1994,2020,분당동,"50,000",샛별마을(우방),9,55,21,84.99,38,41135,6
1992,2020,분당동,"30,000",샛별마을(삼부),9,50,23,69.96,39,41135,6
1992,2020,분당동,"70,000",샛별마을(동성),9,0,27,84.82,35,41135,13
1992,2020,분당동,"70,000",샛별마을(동성),9,0,27,84.82,35,41135,13
1994,2020,분당동,"68,500",장안타운(건영),9,0,28,162.85,66,41135,20
1993,2020,분당동,"68,000",샛별마을(라이프),9,0,28,84.99,34,41135,23
1993,2020,분당동,"75,000",샛별마을(동성),9,0,29,133.65,35,41135,16
1993,2020,수내동,"98,000",파크타운(서안),9,0,1,184.78,52,41135,27
1992,2020,수내동,"75,000",양지마을(5단지)(한양515-529),9,0,1,200.61,24,41135,2
1993,2020,수내동,"25,200",양지마을(5단지)(한양501-514),9,0,1,42.56,24,41135,4
1992,2020,수내동,"85,000",양지마을(2단지)(청구),9,0,2,134.8,36,41135,1
1992,2020,수내동,"70,000",양지마을(3단지)(금호),9,0,2,134.48,27,41135,16
1993,2020,수내동,"50,000","양지마을(6단지)(금호,청구)",9,0,3,59.94,32,41135,5
1993,2020,수내동,"45,000",양지마을(5단지)(한양515-529),9,0,4,59.76,24,41135,13
1993,2020,수내동,"21,000",양지마을(5단지)(한양501-514),9,0,5,35.1,24,41135,5
1992,2020,수내동,"87,000",양지마을(3단지)(금호),9,0,5,101.91,27,41135,11
1993,2020,수내동,"5,000",파크타운(서안),9,158,5,84.6,52,41135,4
1993,2020,수내동,"15,000","양지마을(6단지)(금호,청구)",9,43,5,59.94,32,41135,22
1992,2020,수내동,"63,000",양지마을(2단지)(청구),9,0,5,84.6,36,41135,7
1992,2020,수내동,"28,350",양지마을(5단지)(한양501-514),9,0,7,48.51,24,41135,5
1993,2020,수내동,"2,000",양지마을(5단지)(한양501-514),9,70,7,35.1,24,41135,14
1993,2020,수내동,"84,000",푸른마을(쌍용),9,0,7,84.72,75,41135,5
1993,2020,수내동,"18,900",양지마을(5단지)(한양501-514),9,0,8,35.1,24,41135,1
1992,2020,수내동,"55,000",푸른마을(쌍용),9,0,8,101.82,75,41135,1
1993,2020,수내동,"80,000",파크타운(롯데),9,0,8,101.91,55,41135,7
1993,2020,수내동,"80,000",파크타운(서안),9,0,8,101.91,52,41135,2
1993,2020,수내동,"60,000",파크타운(대림),9,0,8,84.78,51,41135,13
1992,2020,수내동,"63,000",양지마을(3단지)(금호),9,0,9,101.91,27,41135,1
1992,2020,수내동,"56,700",푸른마을(쌍용),9,0,10,84.72,75,41135,4
1993,2020,수내동,"63,000",파크타운(롯데),9,0,10,101.91,55,41135,10
1993,2020,수내동,"2,000",양지마을(5단지)(한양501-514),9,75,10,35.1,24,41135,14
1993,2020,수내동,"28,000",양지마을(5단지)(한양501-514),9,0,10,35.1,24,41135,6
1993,2020,수내동,"80,000",파크타운(롯데),9,0,10,101.91,55,41135,6
1993,2020,수내동,"65,000",파크타운(대림),9,0,10,84.78,51,41135,10
1993,2020,수내동,"55,000",파크타운(대림),9,0,11,131.49,51,41135,3
1993,2020,수내동,"72,000",푸른마을(신성),9,0,11,84.72,73,41135,1
1993,2020,수내동,"100,000",파크타운(롯데),9,0,11,191.52,55,41135,14
1992,2020,수내동,"110,000",양지마을(2단지)(청구),9,0,11,173.965,36,41135,15
1993,2020,수내동,"85,000",파크타운(대림),9,0,11,131.49,51,41135,3
1993,2020,수내동,"75,000",파크타운(대림),9,9,12,134.413,51,41135,15
1993,2020,수내동,"75,000",파크타운(대림),9,8,12,134.413,51,41135,15
1993,2020,수내동,"20,000",양지마을(5단지)(한양501-514),9,0,13,35.1,24,41135,9
1992,2020,수내동,"38,850",푸른마을(벽산),9,0,14,59.78,71,41135,4
1993,2020,수내동,"23,600",양지마을(5단지)(한양501-514),9,0,14,42.56,24,41135,2
1992,2020,수내동,"10,000",양지마을(5단지)(한양501-514),9,55,14,48.51,24,41135,4
1993,2020,수내동,"5,000",양지마을(5단지)(한양501-514),9,80,14,42.56,24,41135,12
1993,2020,수내동,"95,000",파크타운(롯데),9,0,15,131.49,55,41135,3
1992,2020,수내동,"68,000",양지마을(금호1),9,0,16,133.82,34,41135,1
1992,2020,수내동,"40,000",푸른마을(신성),9,0,16,59.78,73,41135,3
1993,2020,수내동,"55,600",푸른마을(신성),9,0,17,84.72,73,41135,11
1993,2020,수내동,"24,150",양지마을(5단지)(한양501-514),9,0,17,42.56,24,41135,3
1992,2020,수내동,"67,200",양지마을(2단지)(청구),9,0,17,84.99,36,41135,7
1993,2020,수내동,"60,000",파크타운(서안),9,0,17,131.49,52,41135,10
1993,2020,수내동,"60,900",파크타운(서안),9,0,18,84.78,52,41135,22
1992,2020,수내동,"50,000",양지마을(3단지)(금호),9,130,18,134.48,27,41135,2
1993,2020,수내동,"17,325",양지마을(5단지)(한양501-514),9,0,19,28.16,24,41135,4
1993,2020,수내동,"90,000",파크타운(삼익),9,0,19,134.91,54,41135,18
1992,2020,수내동,"73,000",양지마을(금호1),9,0,19,84.9,34,41135,1
1992,2020,수내동,"86,000",푸른마을(신성),9,0,19,101.82,73,41135,2
