건축년도,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,지번,지역코드,층
1992,2020,분당동,"65,000",샛별마을(동성),10,0,6,84.82,35,41135,11
1994,2020,분당동,"22,000",샛별마을(우방),10,55,7,72.32,38,41135,6
1992,2020,분당동,"47,150",샛별마을(동성),10,0,9,84.82,35,41135,4
1992,2020,분당동,"43,000",샛별마을(동성),10,0,11,59.4,35,41135,5
1992,2020,분당동,"31,100",샛별마을(동성),10,0,11,59.4,35,41135,9
1993,2020,분당동,"15,000",장안타운(건영),10,90,13,70.68,66,41135,1
1994,2020,분당동,"70,000",장안타운(건영),10,0,13,85,66,41135,3
1992,2020,분당동,"31,500",샛별마을(라이프),10,0,14,58.17,34,41135,15
1993,2020,분당동,"35,000",장안타운(건영),10,0,14,70.68,66,41135,2
1992,2020,분당동,"45,990",샛별마을(라이프),10,0,16,85,34,41135,2
1993,2020,분당동,"58,000",샛별마을(라이프),10,0,17,84.99,34,41135,12
1993,2020,분당동,"52,500",샛별마을(라이프),10,0,17,85,34,41135,4
1994,2020,분당동,"50,000",장안타운(건영),10,0,20,131.76,66,41135,19
1993,2020,분당동,"70,000",샛별마을(라이프),10,0,20,84.99,34,41135,18
1994,2020,분당동,"85,000",샛별마을(우방),10,0,21,101.96,38,41135,11
1992,2020,분당동,"85,000",샛별마을(동성),10,0,22,84.82,35,41135,14
1992,2020,분당동,"43,000",샛별마을(동성),10,0,22,69.39,35,41135,11
1992,2020,분당동,"40,000",샛별마을(삼부),10,26,28,84.6,39,41135,3
1992,2020,분당동,"45,350",샛별마을(동성),10,0,30,84.82,35,41135,6
1992,2020,분당동,"47,200",샛별마을(삼부),10,0,31,84.6,39,41135,2
1992,2020,수내동,"73,500",양지마을(2단지)(청구),10,0,2,173.965,36,41135,1
1992,2020,수내동,"120,000",푸른마을(쌍용),10,0,6,176.77,75,41135,15
1993,2020,수내동,"21,500",양지마을(5단지)(한양501-514),10,0,6,35.1,24,41135,13
1992,2020,수내동,"5,000",양지마을(5단지)(한양501-514),10,100,7,48.51,24,41135,5
1992,2020,수내동,"25,000",양지마을(5단지)(한양515-529),10,80,7,134.55,24,41135,9
1993,2020,수내동,"45,000",양지마을(5단지)(한양515-529),10,0,7,59.76,24,41135,23
1993,2020,수내동,"24,500",양지마을(5단지)(한양501-514),10,0,8,42.56,24,41135,3
1992,2020,수내동,"31,000",양지마을(5단지)(한양501-514),10,0,8,48.51,24,41135,4
1992,2020,수내동,"45,000",푸른마을(신성),10,0,8,59.78,73,41135,4
1993,2020,수내동,"39,000",파크타운(서안),10,0,8,59.32,52,41135,22
1992,2020,수내동,"58,380",푸른마을(쌍용),10,0,8,84.72,75,41135,2
1993,2020,수내동,"90,000",파크타운(삼익),10,0,8,184.78,54,41135,28
1993,2020,수내동,"20,400",양지마을(5단지)(한양501-514),10,0,8,35.1,24,41135,8
1993,2020,수내동,"60,000",파크타운(대림),10,100,10,131.49,51,41135,1
1992,2020,수내동,"10,000",푸른마을(벽산),10,125,10,59.78,71,41135,1
1993,2020,수내동,"60,000",파크타운(서안),10,5,11,101.91,52,41135,1
1993,2020,수내동,"80,000",푸른마을(신성),10,0,12,84.72,73,41135,7
1993,2020,수내동,"95,000",푸른마을(신성),10,0,12,131.4,73,41135,20
1992,2020,수내동,"79,000",양지마을(5단지)(한양515-529),10,0,12,101.93,24,41135,7
1993,2020,수내동,"70,000",파크타운(서안),10,150,12,131.49,52,41135,15
1992,2020,수내동,"44,100","양지마을(6단지)(금호,청구)",10,0,14,65.093,32,41135,18
1992,2020,수내동,"10,000",양지마을(3단지)(금호),10,178,14,101.91,27,41135,5
1993,2020,수내동,"60,000",파크타운(롯데),10,160,15,134.91,55,41135,27
1993,2020,수내동,"67,200",파크타운(삼익),10,0,15,101.835,54,41135,12
1992,2020,수내동,"30,000",푸른마을(신성),10,60,16,59.78,73,41135,1
1992,2020,수내동,"30,000",푸른마을(신성),10,60,16,59.78,73,41135,1
1993,2020,수내동,"62,500",파크타운(서안),10,0,16,84.6,52,41135,6
1993,2020,수내동,"90,000",파크타운(서안),10,0,16,84.78,52,41135,14
1992,2020,수내동,"131,000",양지마을(5단지)(한양515-529),10,0,16,164.4,24,41135,4
1993,2020,수내동,"23,000",양지마을(5단지)(한양501-514),10,0,16,35.1,24,41135,8
1992,2020,수내동,"60,000",양지마을(5단지)(한양515-529),10,150,17,134.55,24,41135,9
1993,2020,수내동,"22,000",양지마을(5단지)(한양501-514),10,0,17,35.1,24,41135,2
1993,2020,수내동,"94,000",파크타운(삼익),10,0,17,186.099,54,41135,5
1992,2020,수내동,"42,000",양지마을(2단지)(청구),10,25,17,84.6,36,41135,3
1993,2020,수내동,"24,000",양지마을(5단지)(한양501-514),10,0,19,35.1,24,41135,10
1993,2020,수내동,"110,000",파크타운(대림),10,0,20,189.853,51,41135,17
1992,2020,수내동,"52,500",양지마을(금호1),10,0,20,133.82,34,41135,8
1993,2020,수내동,"36,000",파크타운(대림),10,0,20,59.32,51,41135,16
1993,2020,수내동,"10,000",푸른마을(쌍용),10,150,20,84.72,75,41135,4
1993,2020,수내동,"66,150",파크타운(서안),10,0,21,101.91,52,41135,3
1993,2020,수내동,"92,000",파크타운(서안),10,0,21,189.853,52,41135,17
1992,2020,수내동,"65,000",푸른마을(쌍용),10,0,21,131.4,75,41135,3
1992,2020,수내동,"50,000",양지마을(5단지)(한양515-529),10,51,21,84.9,24,41135,6
1993,2020,수내동,"61,000",푸른마을(쌍용),10,0,22,84.72,75,41135,9
1992,2020,수내동,"90,000",양지마을(5단지)(한양515-529),10,0,22,101.93,24,41135,3
1992,2020,수내동,"2,000",양지마을(5단지)(한양501-514),10,100,22,48.51,24,41135,1
1993,2020,수내동,"28,000",파크타운(삼익),10,108,23,101.835,54,41135,4
1992,2020,수내동,"37,000",푸른마을(벽산),10,70,23,101.82,71,41135,1
1992,2020,수내동,"68,250",양지마을(3단지)(금호),10,0,25,134.48,27,41135,18
1993,2020,수내동,"67,200",파크타운(삼익),10,0,26,101.835,54,41135,1
1993,2020,수내동,"32,000",양지마을(5단지)(한양501-514),10,0,27,35.1,24,41135,6
1992,2020,수내동,"50,000",양지마을(2단지)(청구),10,52,27,84.99,36,41135,16
1993,2020,수내동,"50,000",파크타운(대림),10,16,28,84.78,51,41135,19
1993,2020,수내동,"70,000",푸른마을(신성),10,0,28,84.72,73,41135,8
1992,2020,수내동,"134,000",양지마을(금호1),10,0,28,133.82,34,41135,8
1992,2020,수내동,"110,000",양지마을(2단지)(청구),10,0,29,134.8,36,41135,23
1992,2020,수내동,"110,000",양지마을(2단지)(청구),10,0,29,134.8,36,41135,23
1993,2020,수내동,"36,000",양지마을(5단지)(한양501-514),10,0,29,35.1,24,41135,6
1993,2020,수내동,"3,900",양지마을(5단지)(한양501-514),10,75,30,42.56,24,41135,4
1993,2020,수내동,"80,000",파크타운(롯데),10,0,30,134.91,55,41135,2
1992,2020,수내동,"69,000",푸른마을(벽산),10,0,31,131.4,71,41135,12
1995,2020,정자동,"26,000",한솔마을(6단지)(주공),10,0,5,37.67,117,41135,13
1994,2020,정자동,"10,000",한솔마을(5단지)(주공),10,75,5,74.16,112,41135,14
1994,2020,정자동,"34,000",느티마을(4단지)(공무원),10,0,5,66.6,90,41135,11
1994,2020,정자동,"31,500",정든마을(7단지)(한진),10,0,5,49.5,194,41135,4
1994,2020,정자동,"34,000",한솔마을(5단지)(주공),10,0,6,74.16,112,41135,10
1994,2020,정자동,"21,000",한솔마을(4단지)(주공),10,0,6,41.85,102,41135,10
2007,2020,정자동,"88,000",분당더샵스타파크,10,0,6,84.9316,174-1,41135,28
1994,2020,정자동,"25,000",상록마을(라이프2차),10,150,6,71.61,125,41135,11
1994,2020,정자동,"19,400",한솔마을(4단지)(주공),10,0,7,36,102,41135,9
1995,2020,정자동,"2,000",한솔마을(6단지)(주공),10,65,7,37.67,117,41135,10
1993,2020,정자동,"6,000",한솔마을(3단지)(한일),10,140,7,59.96,107,41135,2
