date,temperature,humidity,pressure
04/10/2021 12:40:21,286.21,71,1008
04/10/2021 12:50:21,286.07,71,1008
04/10/2021 13:00:21,286.07,71,1008
04/10/2021 13:10:21,285.57,82,1007
04/10/2021 13:20:22,285.35,82,1007
04/10/2021 13:30:22,285.35,82,1007
04/10/2021 13:40:22,284.81,82,1007
04/10/2021 13:50:22,284.81,82,1007
04/10/2021 14:00:22,284.54,82,1007
04/10/2021 14:10:23,284.79,71,1007
04/10/2021 14:20:23,284.59,71,1007
04/10/2021 14:30:23,284.59,71,1007
04/10/2021 14:40:23,284.08,79,1008
04/10/2021 14:50:23,284.08,79,1008
04/10/2021 15:00:24,284.67,71,1007
04/10/2021 15:10:24,284.48,82,1007
04/10/2021 15:20:24,284.48,82,1007
04/10/2021 15:30:24,284.71,82,1007
04/10/2021 15:40:24,284.71,82,1007
04/10/2021 15:50:25,284.63,82,1007
04/10/2021 16:00:25,284.4,82,1007
04/10/2021 16:10:25,284.14,81,1007
04/10/2021 16:20:25,284.27,81,1007
04/10/2021 16:30:25,284.27,81,1007
04/10/2021 16:40:26,284.02,81,1007
04/10/2021 16:50:26,283.97,81,1007
04/10/2021 17:00:26,283.96,81,1007
04/10/2021 17:10:26,283.66,81,1007
04/10/2021 17:20:26,283.36,81,1007
04/10/2021 17:30:27,283.42,81,1007
04/10/2021 17:40:27,283.42,81,1007
04/10/2021 17:50:27,283.05,81,1007
04/10/2021 18:00:27,283.05,81,1007
04/10/2021 18:10:27,282.8,81,1006
04/10/2021 18:20:27,282.8,81,1006
04/10/2021 18:30:28,282.58,81,1006
04/10/2021 18:40:28,282.51,81,1006
04/10/2021 18:50:28,282.51,81,1006
04/10/2021 19:00:28,282.48,81,1006
04/10/2021 19:10:28,282.56,87,1006
04/10/2021 19:20:28,282.56,87,1006
04/10/2021 19:30:29,282.48,87,1006
04/10/2021 19:40:29,282.48,87,1006
04/10/2021 19:50:29,282.56,87,1006
04/10/2021 20:00:29,282.3,87,1006
04/10/2021 20:10:29,282.3,87,1006
04/10/2021 20:20:29,282.08,81,1004
04/10/2021 20:30:30,282.55,81,1004
04/10/2021 20:40:30,282.82,81,1004
04/10/2021 20:50:30,282.83,81,1004
04/10/2021 21:00:30,282.8,81,1004
04/10/2021 21:10:30,283.36,82,1005
04/10/2021 21:20:31,283.36,82,1005
04/10/2021 21:30:31,283.27,82,1005
04/10/2021 21:40:31,283.38,82,1005
04/10/2021 21:50:31,283.38,82,1005
04/10/2021 22:00:31,283.77,82,1005
04/10/2021 22:10:32,284.2,76,1004
04/10/2021 22:20:32,284.41,76,1004
04/10/2021 22:30:32,284.41,76,1004
04/10/2021 22:40:32,284.22,85,1007
04/10/2021 22:50:33,284.22,85,1007
04/10/2021 23:00:33,284.22,85,1007
04/10/2021 23:10:33,284.27,85,1007
04/10/2021 23:20:33,284.27,85,1007
04/10/2021 23:30:33,284.33,76,1004
04/10/2021 23:40:34,284.33,76,1004
04/10/2021 23:50:34,284.42,76,1004
04/11/2021 00:00:34,284.42,76,1004
04/11/2021 00:10:34,284.51,76,1003
04/11/2021 00:20:34,284.51,76,1003
04/11/2021 00:30:35,284.56,76,1003
04/11/2021 00:40:35,284.78,76,1003
04/11/2021 00:50:35,284.55,76,1003
